 1.353e+01  9.890e+00  2.183e-01  1.305e-01
 1.375e+01  9.900e+00  1.151e-01  1.206e-01
 1.374e+01  9.390e+00  9.519e-02  8.523e-02
 1.368e+01  9.340e+00  1.305e-01  9.519e-02
 1.390e+01  9.340e+00  1.052e-01  1.106e-01
 1.351e+01  9.200e+00  6.000e-02  9.519e-02
 1.395e+01  9.190e+00  9.000e-02  1.007e-01
 1.371e+01  9.180e+00  1.206e-01  1.106e-01
 1.360e+01  9.310e+00  1.206e-01  1.151e-01
 1.376e+01  9.560e+00  7.000e-02  1.870e-01
 1.361e+01  9.600e+00  1.206e-01  1.771e-01
 1.398e+01  9.570e+00  8.523e-02  1.206e-01
 1.387e+01  9.490e+00  1.460e-01  1.206e-01
 1.366e+01  9.300e+00  8.000e-02  1.106e-01
 1.392e+01  9.420e+00  1.052e-01  2.340e-01
 1.397e+01  9.310e+00  1.460e-01  1.106e-01
 1.361e+01  9.410e+00  2.399e-01  3.557e-01
 1.382e+01  9.220e+00  9.519e-02  1.771e-01
 1.367e+01  9.020e+00  1.206e-01  3.054e-01
 1.354e+01  8.900e+00  2.242e-01  2.519e-01
 1.377e+01  9.520e+00  7.000e-02  7.000e-02
 1.401e+01  9.800e+00  1.460e-01  9.519e-02
 1.387e+01  9.420e+00  1.460e-01  8.523e-02
 1.367e+01  9.510e+00  1.771e-01  1.460e-01
 1.376e+01  9.090e+00  9.519e-02  8.000e-02
 1.368e+01  8.920e+00  9.519e-02  1.361e-01
 1.385e+01  9.300e+00  7.528e-02  2.301e-01
 1.385e+01  9.660e+00  1.052e-01  4.400e-01
 1.390e+01  9.670e+00  1.460e-01  1.007e-01
 1.371e+01  9.000e+00  1.928e-01  1.361e-01
 1.456e+01  1.010e+01  7.000e-02  1.881e-01
 1.407e+01  9.370e+00  5.000e-02  1.695e-01
 1.387e+01  9.580e+00  7.000e-02  1.007e-01
 1.391e+01  9.430e+00  7.528e-02  1.052e-01
 1.474e+01  9.720e+00  6.000e-02  1.106e-01
 1.397e+01  9.760e+00  1.206e-01  9.519e-02
 1.426e+01  9.590e+00  3.000e-02  1.379e-01
 1.349e+01  9.110e+00  2.301e-01  1.251e-01
 1.373e+01  9.270e+00  1.559e-01  1.200e-01
 1.365e+01  9.290e+00  8.523e-02  1.723e-01
 1.371e+01  9.530e+00  1.052e-01  1.154e-01
 1.378e+01  9.300e+00  1.007e-01  1.903e-01
