# coordinates (in AU) and velocities (in AU/day) for solar system planets for 
# 2456981.500000000 = A.D. 2014-Nov-20 00:00:00.0000 (CT)
#  from http://ssd.jpl.nasa.gov/horizons.cgi#top
#
# name      mass (Msun) x y z  vx vy vz
MERCURY  1.66013679527193009E-07  -3.860508473829717E-01 -1.555685978428152E-01  2.290709848930286E-02  4.576435789924686E-03 -2.492140232194473E-02 -2.456273722588474E-03
VENUS    2.44783833966454430E-06  -2.140100801017104E-01 -6.938202425623639E-01  2.876788847212073E-03 1.917082819399491E-02 -6.117219249115730E-03 -1.190097114441730E-03
EARTH    3.04043264264672381E-06   5.355271263873246E-01  8.311906251885903E-01 -1.621138784977215E-04  -1.476814115952321E-02  9.222685439554769E-03 -9.950696267907416E-07
MARS     3.22715144505386530E-07   1.091849116524840E+00 -8.551239860433687E-01 -4.476124251360428E-02 9.172767227621864E-03  1.221558509585272E-02  3.070763620452151E-05
JUPITER  9.54791938424326609E-04  -3.490528553429030E+00  3.993738103831988E+00  6.144201238459944E-02  -5.771867458255742E-03 -4.610386277493104E-03  1.483167871925783E-04
SATURN   2.85885980666130812E-04  -5.587755501526419E+00 -8.219910417666171E+00  3.653074639713707E-01  4.309680339172692E-03 -3.151547381875217E-03 -1.168955493647586E-04
URANUS   4.36624404335156298E-05   1.935049675714555E+01  5.098637350998369E+00 -2.317553574284990E-01  -1.030850151198113E-03  3.619973512106780E-03  2.686454963894208E-05
NEPTUNE  5.15138902046611451E-05   2.747819314228686E+01 -1.196553881196141E+01 -3.868556358000342E-01 1.231965669889222E-03  2.896452463594547E-03 -8.796393396420362E-05
PLUTO    7.39644970414201173E-09   7.269517585940611E+00 -3.192254248509057E+01  1.313136363455292E+00 3.124061596657235E-03  5.151474083831091E-05 -9.218890455116219E-04
SUN      1.0			   2.668345393784322E-03 -1.069752990602558E-03 -1.330586010263549E-04 4.254863596538490E-06  4.982843681586776E-06 -1.015646783606625E-07
